City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-05-31 15:34:14,-46.6,168.3333,53.33,81,100,6.38
1,Rikitea,PF,2022-05-31 15:34:15,-23.1203,-134.9692,75.25,78,78,8.93
2,Hermanus,ZA,2022-05-31 15:34:15,-34.4187,19.2345,59.81,67,60,14.12
3,Alofi,NU,2022-05-31 15:34:17,-19.0595,-169.9187,73.29,94,9,4.61
4,Bredasdorp,ZA,2022-05-31 15:34:17,-34.5322,20.0403,55.63,62,79,9.22
5,Punta Arenas,CL,2022-05-31 15:30:52,-53.15,-70.9167,42.82,75,0,5.75
6,Rocha,UY,2022-05-31 15:34:18,-34.4833,-54.3333,51.15,50,11,9.89
7,Souillac,MU,2022-05-31 15:34:18,-20.5167,57.5167,75.58,69,75,10.36
8,Bambous Virieux,MU,2022-05-31 15:34:18,-20.3428,57.7575,75.45,69,75,10.36
9,Brigantine,US,2022-05-31 15:34:19,39.4101,-74.3646,93.04,47,0,9.22
10,Ambon,ID,2022-05-31 15:34:19,-3.6954,128.1814,77.14,94,40,2.3
11,Baykit,RU,2022-05-31 15:34:20,61.67,96.37,45.97,86,100,10.33
12,Mataura,NZ,2022-05-31 15:34:20,-46.1927,168.8643,49.33,86,100,3.06
13,Hobart,AU,2022-05-31 15:31:34,-42.8794,147.3294,47.26,89,75,10.36
14,Cape Town,ZA,2022-05-31 15:34:21,-33.9258,18.4232,62.28,69,20,10.36
15,Sitka,US,2022-05-31 15:34:21,57.0531,-135.33,49.89,87,75,5.75
16,Hilo,US,2022-05-31 15:34:21,19.7297,-155.09,72.28,93,100,6.91
17,Itarema,BR,2022-05-31 15:34:22,-2.9248,-39.9167,85.01,66,47,13.27
18,Coahuayana,MX,2022-05-31 15:34:22,18.7333,-103.6833,85.71,49,90,4.63
19,Zeya,RU,2022-05-31 15:34:23,53.75,127.2667,48.31,97,100,4.12
20,Thompson,CA,2022-05-31 15:34:23,55.7435,-97.8558,37.56,81,100,11.5
21,Praia Da Vitoria,PT,2022-05-31 15:34:23,38.7333,-27.0667,64.65,82,75,21.99
22,Abha,SA,2022-05-31 15:32:12,18.2164,42.5053,80.42,25,40,9.22
23,Victoria,HK,2022-05-31 15:34:24,22.2855,114.1577,84.33,84,95,8.01
24,Ushuaia,AR,2022-05-31 15:29:26,-54.8,-68.3,40.66,87,75,17.27
25,Severo-Kurilsk,RU,2022-05-31 15:34:25,50.6789,156.125,40.87,93,100,3.71
26,Butaritari,KI,2022-05-31 15:34:25,3.0707,172.7902,80.15,82,49,12.12
27,Mayo,US,2022-05-31 15:34:25,38.8876,-76.5119,93.36,61,0,4.61
28,San Cristobal,VE,2022-05-31 15:34:26,7.7669,-72.225,77.18,46,100,6.15
29,Odiongan,PH,2022-05-31 15:34:26,12.4017,121.9919,80.92,82,100,9.95
30,Pacific Grove,US,2022-05-31 15:34:27,36.6177,-121.9166,56.43,84,0,5.99
31,Vila Franca Do Campo,PT,2022-05-31 15:34:27,37.7167,-25.4333,66.2,76,72,16.98
32,Vaini,TO,2022-05-31 15:34:28,-21.2,-175.2,75.36,88,40,4.61
33,Fortuna,US,2022-05-31 15:34:28,40.5982,-124.1573,60.93,78,0,4.61
34,Yellowknife,CA,2022-05-31 15:34:29,62.456,-114.3525,50.56,43,75,12.66
35,Hithadhoo,MV,2022-05-31 15:34:29,-0.6,73.0833,83.93,69,72,10.25
36,Iqaluit,CA,2022-05-31 15:29:56,63.7506,-68.5145,33.53,86,75,3.44
37,Waitati,NZ,2022-05-31 15:34:30,-45.75,170.5667,57.79,60,100,11.5
38,East London,ZA,2022-05-31 15:34:30,-33.0153,27.9116,65.34,45,0,9.22
39,Geraldton,AU,2022-05-31 15:31:14,-28.7667,114.6,48.61,76,1,5.75
40,Jamestown,US,2022-05-31 15:34:31,42.097,-79.2353,80.53,61,20,12.66
41,Busselton,AU,2022-05-31 15:34:31,-33.65,115.3333,52.52,77,55,4.85
42,Kulevcha,UA,2022-05-31 15:34:31,46.0303,29.9361,78.76,49,62,1.7
43,Nchelenge,ZM,2022-05-31 15:34:32,-9.3451,28.734,74.44,55,43,2.84
44,Provideniya,RU,2022-05-31 15:34:32,64.3833,-173.3,41.52,75,34,1.05
45,Kabanjahe,ID,2022-05-31 15:35:33,3.1001,98.4908,61.54,96,38,3.83
46,Abu Kamal,SY,2022-05-31 15:35:33,34.4506,40.9171,100.15,9,0,5.57
47,Charters Towers,AU,2022-05-31 15:30:53,-20.1,146.2667,59.4,42,93,8.03
48,Ribeira Grande,PT,2022-05-31 15:35:34,38.5167,-28.7,68.4,52,20,13.8
49,Yakymivka,UA,2022-05-31 15:35:34,46.6897,35.1536,75.15,52,1,6.98
50,Margate,GB,2022-05-31 15:34:04,51.3813,1.3862,61.3,62,80,4.0
51,Mahebourg,MU,2022-05-31 15:31:10,-20.4081,57.7,75.49,69,75,10.36
52,Araouane,ML,2022-05-31 15:35:35,18.9048,-3.5265,109.99,9,84,11.81
53,Avera,US,2022-05-31 15:35:35,33.194,-82.5271,80.11,53,0,5.68
54,New Norfolk,AU,2022-05-31 15:35:35,-42.7826,147.0587,46.92,82,100,2.98
55,Bengkulu,ID,2022-05-31 15:35:36,-3.8004,102.2655,76.42,90,100,4.65
56,Tasiilaq,GL,2022-05-31 15:35:36,65.6145,-37.6368,42.96,93,100,4.92
57,Arraial Do Cabo,BR,2022-05-31 15:35:37,-22.9661,-42.0278,76.96,83,40,10.36
58,Sfantu Gheorghe,RO,2022-05-31 15:35:37,45.8667,25.7833,73.85,51,100,3.94
59,Albany,US,2022-05-31 15:34:24,42.6001,-73.9662,87.58,50,82,12.12
60,Hoa Binh,VN,2022-05-31 15:35:38,20.8133,105.3383,78.48,94,100,1.63
61,Barrow,US,2022-05-31 15:35:38,71.2906,-156.7887,26.62,93,20,16.11
62,Shingu,JP,2022-05-31 15:35:38,33.7333,135.9833,60.91,67,100,6.42
63,Narsaq,GL,2022-05-31 15:35:39,60.9167,-46.05,53.82,58,100,3.58
64,Bilibino,RU,2022-05-31 15:35:39,68.0546,166.4372,44.76,84,73,3.27
65,Teknaf,BD,2022-05-31 15:35:39,20.8624,92.3058,81.14,84,14,3.18
66,Rabaul,PG,2022-05-31 15:35:40,-4.1967,152.1721,79.03,78,55,2.04
67,Cervo,ES,2022-05-31 15:35:40,43.6702,-7.4101,59.72,95,100,6.6
68,Flinders,AU,2022-05-31 15:35:41,-34.5833,150.8552,50.38,59,2,11.01
69,Vostok,RU,2022-05-31 15:35:41,46.4856,135.8833,42.35,98,100,2.19
70,Havelock,US,2022-05-31 15:35:42,34.8791,-76.9013,87.98,66,0,5.75
71,Lebu,CL,2022-05-31 15:35:42,-37.6167,-73.65,47.08,65,8,7.99
72,Bathsheba,BB,2022-05-31 15:35:43,13.2167,-59.5167,86.61,66,20,16.11
73,Kankakee,US,2022-05-31 15:35:08,41.15,-87.8667,86.31,54,40,19.57
74,Kapaa,US,2022-05-31 15:35:43,22.0752,-159.319,73.72,92,75,12.66
75,Sept-Iles,CA,2022-05-31 15:35:13,50.2001,-66.3821,52.32,46,75,14.97
76,Lodja,CD,2022-05-31 15:35:44,-3.4833,23.4333,81.52,59,85,2.84
77,Kewanee,US,2022-05-31 15:35:44,41.2456,-89.9248,76.55,76,100,17.25
78,Puerto Ayora,EC,2022-05-31 15:35:44,-0.7393,-90.3518,78.76,83,100,12.91
79,Avarua,CK,2022-05-31 15:35:45,-21.2078,-159.775,71.65,94,75,3.44
80,Sao Filipe,CV,2022-05-31 15:35:45,14.8961,-24.4956,76.15,78,16,12.88
81,Namibe,AO,2022-05-31 15:35:46,-15.1961,12.1522,75.69,58,0,6.89
82,Colorado,BR,2022-05-31 15:34:42,-22.8375,-51.9731,67.5,85,100,4.54
83,Yarmouth,US,2022-05-31 15:34:58,41.7057,-70.2286,70.02,72,0,17.27
84,Itaporanga,BR,2022-05-31 15:35:46,-7.3044,-38.1503,83.98,64,39,6.38
85,Padang,ID,2022-05-31 15:35:47,-0.9492,100.3543,73.45,86,76,1.68
86,Alice Springs,AU,2022-05-31 15:35:47,-23.7,133.8833,54.95,50,100,8.05
87,Pisco,PE,2022-05-31 15:35:47,-13.7,-76.2167,62.65,82,100,3.44
88,Iwanai,JP,2022-05-31 15:35:48,42.9744,140.5089,51.17,97,100,1.19
89,Lompoc,US,2022-05-31 15:35:48,34.6391,-120.4579,61.61,81,100,14.0
90,Mirnyy,RU,2022-05-31 15:36:48,62.5353,113.9611,50.23,46,24,4.72
91,Scottsbluff,US,2022-05-31 15:36:49,41.8666,-103.6672,53.56,83,100,13.8
92,Linxia,CN,2022-05-31 15:36:49,35.6003,103.2064,60.24,43,17,2.26
93,Beidao,CN,2022-05-31 15:36:49,34.5686,105.8933,60.67,92,84,3.89
94,Cockburn Town,TC,2022-05-31 15:35:04,21.4612,-71.1419,80.55,79,81,16.93
95,Lavrentiya,RU,2022-05-31 15:36:50,65.5833,-171.0,36.72,86,13,1.86
96,Khatanga,RU,2022-05-31 15:36:50,71.9667,102.5,35.15,83,91,7.7
97,Kaitangata,NZ,2022-05-31 15:36:51,-46.2817,169.8464,53.56,77,100,7.81
98,Kavieng,PG,2022-05-31 15:36:51,-2.5744,150.7967,81.64,74,20,11.25
99,Puerto Del Rosario,ES,2022-05-31 15:36:52,28.5004,-13.8627,83.95,37,20,12.66
100,Port Alfred,ZA,2022-05-31 15:36:52,-33.5906,26.891,61.18,63,50,5.01
101,San Francisco,US,2022-05-31 15:36:52,37.7749,-122.4194,65.91,72,0,5.01
102,Astoria,US,2022-05-31 15:36:53,46.1879,-123.8313,58.42,90,100,1.01
103,Kodiak,US,2022-05-31 15:36:54,57.79,-152.4072,45.91,87,100,10.36
104,Mayenne,FR,2022-05-31 15:36:55,48.3333,-0.6667,67.44,45,63,12.06
105,Saint-Philippe,RE,2022-05-31 15:36:55,-21.3585,55.7679,71.19,73,43,14.34
106,Atuona,PF,2022-05-31 15:36:55,-9.8,-139.0333,77.34,71,14,12.53
107,Plaster Rock,CA,2022-05-31 15:36:56,46.9065,-67.39,55.92,39,12,11.1
108,Barcelos,PT,2022-05-31 15:36:55,41.5388,-8.6151,67.84,91,100,2.51
109,Teguldet,RU,2022-05-31 15:36:56,57.3064,88.1667,53.76,55,98,2.89
110,Bilma,NE,2022-05-31 15:36:57,18.6853,12.9164,105.91,5,1,2.98
111,Hasaki,JP,2022-05-31 15:36:57,35.7333,140.8333,64.29,89,100,6.78
112,San Patricio,US,2022-05-31 15:36:57,28.017,-97.5169,87.67,58,33,17.49
113,Dalnerechensk,RU,2022-05-31 15:36:58,45.9339,133.7225,46.02,95,18,4.14
114,Leshukonskoye,RU,2022-05-31 15:36:58,64.8989,45.7622,66.38,35,23,6.69
115,Dikson,RU,2022-05-31 15:36:58,73.5069,80.5464,30.81,94,100,18.95
116,Ixtapa,MX,2022-05-31 15:36:25,20.7,-105.2,78.03,73,0,2.3
117,Keetmanshoop,NA,2022-05-31 15:36:59,-26.5833,18.1333,63.12,15,0,9.06
118,Carnarvon,AU,2022-05-31 15:36:59,-24.8667,113.6333,60.51,69,0,19.26
119,Mehamn,NO,2022-05-31 15:37:00,71.0357,27.8492,49.95,66,0,10.36
120,Kaohsiung,TW,2022-05-31 15:37:00,22.6163,120.3133,84.04,81,75,4.61
121,Tiksi,RU,2022-05-31 15:37:00,71.6872,128.8694,29.66,98,100,6.6
122,Moratuwa,LK,2022-05-31 15:37:01,6.773,79.8816,77.02,86,100,20.42
123,Whitehorse,CA,2022-05-31 15:37:01,60.7161,-135.0538,54.1,53,0,3.44
124,Dalvik,IS,2022-05-31 15:37:02,65.9702,-18.5286,55.33,70,72,6.58
125,Beloha,MG,2022-05-31 15:37:02,-25.1667,45.05,66.0,77,0,6.62
126,Nikolskoye,RU,2022-05-31 15:37:02,59.7035,30.7861,66.87,53,100,7.58
127,Crateus,BR,2022-05-31 15:37:03,-5.1783,-40.6775,86.54,52,66,6.64
128,Valparaiso,CL,2022-05-31 15:34:40,-33.0393,-71.6273,53.83,53,0,3.44
129,Lorengau,PG,2022-05-31 15:37:04,-2.0226,147.2712,78.82,81,73,8.81
130,Bam,IR,2022-05-31 15:37:04,29.106,58.357,82.56,6,24,10.13
131,Ahipara,NZ,2022-05-31 15:37:05,-35.1667,173.1667,63.46,87,19,13.73
132,Port-Gentil,GA,2022-05-31 15:37:05,-0.7193,8.7815,76.62,85,99,11.23
133,Kirakira,SB,2022-05-31 15:37:05,-10.4544,161.9205,78.71,85,41,6.33
134,Ponta Do Sol,PT,2022-05-31 15:37:06,32.6667,-17.1,70.72,74,29,15.01
135,Columbus,US,2022-05-31 15:34:34,39.9612,-82.9988,86.63,56,20,10.36
136,Aquiraz,BR,2022-05-31 15:37:07,-3.9014,-38.3911,87.89,79,64,9.64
137,Torbay,CA,2022-05-31 15:38:07,47.6666,-52.7314,54.88,79,100,11.5
138,Fushe-Arrez,AL,2022-05-31 15:38:08,42.0622,20.0167,75.9,64,76,4.54
139,Tuatapere,NZ,2022-05-31 15:38:08,-46.1333,167.6833,51.53,90,100,4.7
140,Aripuana,BR,2022-05-31 15:38:08,-9.1667,-60.6333,93.34,34,4,4.27
141,Castro,BR,2022-05-31 15:36:51,-24.7911,-50.0119,55.99,97,100,8.75
142,Praia,CV,2022-05-31 15:38:09,14.9215,-23.5087,76.93,77,8,17.49
143,Saskylakh,RU,2022-05-31 15:38:09,71.9167,114.0833,14.27,99,72,4.36
144,Mier,MX,2022-05-31 15:38:10,26.4333,-99.15,89.37,55,40,18.03
145,Aboisso,CI,2022-05-31 15:38:10,5.4678,-3.2071,82.45,79,54,5.99
146,Airai,TL,2022-05-31 15:38:10,-8.9266,125.4092,60.39,94,100,1.16
147,Ati,TD,2022-05-31 15:38:11,13.2154,18.3353,104.02,11,4,4.88
148,Nosy Varika,MG,2022-05-31 15:38:05,-20.5833,48.5333,69.57,74,3,3.09
149,Gamba,GA,2022-05-31 15:38:12,-2.65,10.0,76.75,82,67,8.79
150,Andilamena,MG,2022-05-31 15:38:12,-17.0167,48.5833,56.35,94,23,6.2
151,Faanui,PF,2022-05-31 15:38:13,-16.4833,-151.75,79.54,70,61,10.92
152,Mount Isa,AU,2022-05-31 15:38:13,-20.7333,139.5,55.17,50,76,3.44
153,Bunol,ES,2022-05-31 15:38:13,39.4167,-0.7833,77.9,40,1,8.32
154,Porto Novo,BJ,2022-05-31 15:38:14,6.4965,2.6036,83.95,69,100,10.67
155,Iranshahr,IR,2022-05-31 15:38:14,27.2025,60.6848,100.74,6,20,13.8
156,Patos,BR,2022-05-31 15:36:02,-7.0244,-37.28,85.28,61,31,9.15
157,Mar Del Plata,AR,2022-05-31 15:38:15,-38.0023,-57.5575,53.1,62,0,13.8
158,Ostrovnoy,RU,2022-05-31 15:38:15,68.0531,39.5131,41.22,85,40,3.36
159,Raudeberg,NO,2022-05-31 15:38:16,61.9875,5.1352,58.96,84,100,2.55
160,Jacareacanga,BR,2022-05-31 15:38:16,-6.2222,-57.7528,92.57,43,24,4.18
161,Yulara,AU,2022-05-31 15:38:17,-25.2406,130.9889,54.95,46,100,8.16
162,Eureka,US,2022-05-31 15:38:17,40.8021,-124.1637,60.21,85,7,3.0
163,Guerrero Negro,MX,2022-05-31 15:33:27,27.9769,-114.0611,65.84,66,32,16.6
164,Abbeville,FR,2022-05-31 15:38:18,50.1,1.8333,62.49,58,35,14.58
165,Peterhead,GB,2022-05-31 15:38:18,57.5058,-1.7981,56.44,87,94,11.86
166,Dunedin,NZ,2022-05-31 15:38:19,-45.8742,170.5036,56.8,60,100,3.0
167,Longyearbyen,SJ,2022-05-31 15:38:19,78.2186,15.6401,44.44,76,0,3.44
168,Saldanha,ZA,2022-05-31 15:38:19,-33.0117,17.9442,64.45,68,77,4.29
169,Talnakh,RU,2022-05-31 15:38:20,69.4865,88.3972,36.21,84,89,13.65
170,Vathi,GR,2022-05-31 15:38:20,38.4,23.6,89.24,26,20,5.75
171,Vestmannaeyjar,IS,2022-05-31 15:38:21,63.4427,-20.2734,49.19,93,100,20.71
172,Dudinka,RU,2022-05-31 15:38:21,69.4058,86.1778,36.63,84,91,12.35
173,Shizunai,JP,2022-05-31 15:38:22,42.3339,142.3669,51.67,92,100,16.89
174,Sao Joao Da Barra,BR,2022-05-31 15:36:44,-21.6403,-41.0511,82.49,59,100,7.27
175,Lagoa,PT,2022-05-31 15:38:22,39.05,-27.9833,60.44,79,76,20.22
176,Ancud,CL,2022-05-31 15:38:22,-41.8697,-73.8203,44.53,75,4,3.98
177,Chauk,MM,2022-05-31 15:38:23,20.8833,94.8167,86.85,59,47,10.63
178,Fort Nelson,CA,2022-05-31 15:38:24,58.8053,-122.7002,53.19,58,0,5.75
179,Cidreira,BR,2022-05-31 15:39:24,-30.1811,-50.2056,54.12,60,98,9.86
180,Upernavik,GL,2022-05-31 15:39:24,72.7868,-56.1549,25.45,80,7,11.36
181,Jinchang,CN,2022-05-31 15:39:25,38.4953,102.1739,71.01,21,97,10.76
182,Muros,ES,2022-05-31 15:39:25,42.7762,-9.0603,68.09,85,100,6.6
183,Tura,IN,2022-05-31 15:39:25,25.5198,90.2201,74.08,90,23,4.05
184,Ngunguru,NZ,2022-05-31 15:39:26,-35.6167,174.5,64.71,83,61,14.03
185,Guarapari,BR,2022-05-31 15:39:26,-20.6667,-40.4975,78.87,63,44,7.99
186,Quatre Cocos,MU,2022-05-31 15:39:27,-20.2078,57.7625,75.31,57,44,18.5
187,Wembley,AU,2022-05-31 15:39:27,-31.9333,115.8,55.09,81,20,6.91
188,Sulangan,PH,2022-05-31 15:39:27,11.1373,123.7228,81.97,79,97,9.08
189,Mathathane,BW,2022-05-31 15:39:28,-22.2687,28.7495,64.71,57,41,7.67
190,Chulym,RU,2022-05-31 15:39:28,55.0997,80.9572,54.54,93,95,8.05
191,Nara,JP,2022-05-31 15:39:28,34.6851,135.8049,61.5,48,57,3.13
192,Erenhot,CN,2022-05-31 15:39:29,43.6475,111.9767,62.71,14,3,4.41
193,Prattville,US,2022-05-31 15:39:29,32.464,-86.4597,86.77,57,0,0.0
194,Yeppoon,AU,2022-05-31 15:39:30,-23.1333,150.7333,60.58,62,67,7.0
195,Acoyapa,NI,2022-05-31 15:39:30,11.9703,-85.1711,80.69,62,94,2.62
196,Gazanjyk,TM,2022-05-31 15:39:30,39.2446,55.5154,89.47,13,0,8.93
197,Asau,RO,2022-05-31 15:39:31,46.4333,26.4,74.32,80,98,5.7
198,Russell,US,2022-05-31 15:36:52,32.3502,-85.1999,85.91,69,40,0.0
199,Marienburg,PL,2022-05-31 15:38:33,54.0359,19.0266,64.89,65,99,4.18
200,Duluth,US,2022-05-31 15:36:05,46.7833,-92.1066,69.04,76,100,34.52
201,Tamandare,BR,2022-05-31 15:39:31,-8.7597,-35.1047,82.29,71,19,6.85
202,Tuktoyaktuk,CA,2022-05-31 15:39:32,69.4541,-133.0374,32.0,80,100,0.0
203,Bethel,US,2022-05-31 15:35:48,41.3712,-73.414,89.02,58,0,12.66
204,Tabuk,PH,2022-05-31 15:39:33,17.4189,121.4443,75.15,81,99,4.03
205,Kualakapuas,ID,2022-05-31 15:39:33,-3.0091,114.3876,77.02,94,74,3.0
206,Krasnyy Chikoy,RU,2022-05-31 15:39:33,50.3643,108.7512,50.41,74,85,3.13
207,Port Elizabeth,ZA,2022-05-31 15:39:34,-33.918,25.5701,61.09,67,0,18.41
208,Hofn,IS,2022-05-31 15:39:34,64.2539,-15.2082,46.99,84,100,5.08
209,Leningradskiy,RU,2022-05-31 15:39:34,69.3833,178.4167,36.01,95,100,3.38
210,Gobabis,NA,2022-05-31 15:39:35,-22.45,18.9667,60.33,19,0,13.49
211,Madingou,CG,2022-05-31 15:39:35,-4.1536,13.55,85.19,69,23,0.11
212,Batie,BF,2022-05-31 15:39:36,9.8833,-2.9167,96.71,33,33,6.46
213,Aklavik,CA,2022-05-31 15:39:36,68.2191,-135.0107,33.8,100,100,11.5
214,Cherskiy,RU,2022-05-31 15:39:36,68.75,161.3,51.15,54,93,6.58
215,Kathmandu,NP,2022-05-31 15:36:23,27.7167,85.3167,71.82,94,40,2.3
216,Beaufort,MY,2022-05-31 15:39:37,5.3473,115.7455,76.82,83,79,2.91
217,Sinnamary,GF,2022-05-31 15:39:37,5.3833,-52.95,76.19,92,100,7.29
218,Shelburne,CA,2022-05-31 15:39:37,44.0787,-80.2041,83.75,53,66,11.34
219,Winnemucca,US,2022-05-31 15:39:38,40.973,-117.7357,48.25,61,0,9.22
220,Komsomolskiy,UZ,2022-05-31 15:39:38,40.4272,71.7189,75.92,29,0,4.61
221,Miyang,CN,2022-05-31 15:39:38,24.4042,103.4428,65.75,95,46,2.62
222,Kruisfontein,ZA,2022-05-31 15:39:39,-34.0033,24.7314,57.88,67,26,17.11
223,Taoudenni,ML,2022-05-31 15:39:39,22.6783,-3.9836,109.42,5,2,13.15
224,Westport,US,2022-05-31 15:39:39,41.1415,-73.3579,91.15,51,0,14.97
225,Pop,UZ,2022-05-31 15:40:40,40.8736,71.1089,75.69,27,3,1.52
226,Klyuchi,RU,2022-05-31 15:40:40,52.2667,79.1667,59.47,84,91,7.47
227,Mikuni,JP,2022-05-31 15:40:41,36.2171,136.1519,58.91,80,17,3.4
228,Tezpur,IN,2022-05-31 15:40:41,26.6333,92.8,81.82,80,84,2.3
229,Pangnirtung,CA,2022-05-31 15:40:42,66.1451,-65.7125,33.8,86,40,9.22
230,Pa Sang,TH,2022-05-31 15:40:42,18.5262,98.9394,80.78,91,100,0.67
231,Sur,OM,2022-05-31 15:40:42,22.5667,59.5289,88.3,57,0,9.82
232,Saint George,US,2022-05-31 15:38:33,37.1041,-113.5841,69.26,25,0,5.01
233,Leh,IN,2022-05-31 15:40:43,34.1667,77.5833,53.56,28,7,6.4
234,Coihaique,CL,2022-05-31 15:40:43,-45.5752,-72.0662,26.55,93,100,0.0
235,Yerbogachen,RU,2022-05-31 15:40:44,61.2767,108.0108,49.03,72,72,4.83
236,Williston,US,2022-05-31 15:40:01,48.147,-103.618,52.03,67,100,11.99
237,Chake Chake,TZ,2022-05-31 15:40:44,-5.2459,39.7666,76.17,77,6,9.15
238,Meulaboh,ID,2022-05-31 15:40:45,4.1363,96.1285,77.32,84,49,3.24
239,Vila Velha,BR,2022-05-31 15:40:45,-20.3297,-40.2925,80.55,69,0,8.05
240,Zehdenick,DE,2022-05-31 15:40:46,52.9785,13.3317,68.92,45,100,2.53
241,Sloboda,RU,2022-05-31 15:40:46,51.1421,40.3021,70.86,76,50,8.79
242,Sobolevo,RU,2022-05-31 15:40:46,54.4299,31.8996,61.29,73,33,4.56
243,Weyburn,CA,2022-05-31 15:40:47,49.6668,-103.8511,50.22,57,80,28.77
244,Batagay-Alyta,RU,2022-05-31 15:40:47,67.8006,130.4114,34.54,98,100,2.42
245,Brae,GB,2022-05-31 15:40:47,60.3964,-1.353,53.4,66,59,8.66
246,Codrington,AU,2022-05-31 15:40:48,-38.2667,141.9667,48.16,64,99,23.47
247,Sedniv,UA,2022-05-31 15:40:48,51.6447,31.565,59.02,75,90,5.68
248,Bacolod,PH,2022-05-31 15:40:11,10.6667,122.95,77.99,84,100,1.43
249,Mazamari,PE,2022-05-31 15:40:49,-11.3258,-74.5308,80.65,72,96,1.88
250,Bara,NG,2022-05-31 15:40:49,10.3744,10.7288,92.3,37,46,8.79
251,Morganton,US,2022-05-31 15:40:50,35.7454,-81.6848,87.22,58,0,3.0
252,Montbrison,FR,2022-05-31 15:40:50,45.6667,4.0833,62.94,65,100,0.87
253,Grand Gaube,MU,2022-05-31 15:40:50,-20.0064,57.6608,75.6,63,2,5.99
254,Verkhoyansk,RU,2022-05-31 15:40:51,67.5447,133.385,49.77,78,94,6.76
255,Rawson,AR,2022-05-31 15:40:51,-43.3002,-65.1023,47.01,60,98,15.37
256,Aksarka,RU,2022-05-31 15:40:52,66.5606,67.7975,55.27,43,16,10.58
257,Acapulco,MX,2022-05-31 15:40:52,16.8634,-99.8901,82.22,65,75,11.5
258,Aswan,EG,2022-05-31 15:40:52,24.0934,32.907,103.19,5,0,9.86
259,Paamiut,GL,2022-05-31 15:40:53,61.994,-49.6678,36.48,80,99,3.58
260,Lagunas,PE,2022-05-31 15:40:53,-5.2269,-75.6753,85.66,60,93,3.38
261,Havoysund,NO,2022-05-31 15:40:53,70.9963,24.6622,48.43,56,99,15.99
262,Qaanaaq,GL,2022-05-31 15:40:54,77.484,-69.3632,24.1,64,11,4.52
263,Ylivieska,FI,2022-05-31 15:40:54,64.0833,24.55,63.32,60,100,10.25
264,Arles,FR,2022-05-31 15:40:54,43.6768,4.6303,82.6,34,0,9.22
265,Lokoshaza,HU,2022-05-31 15:40:55,46.4333,21.2333,75.83,64,98,2.62
266,Luang Prabang,LA,2022-05-31 15:40:55,19.8856,102.1347,74.37,95,99,1.83
267,Usinsk,RU,2022-05-31 15:40:56,65.9939,57.5281,61.16,32,6,11.01
268,Wattegama,LK,2022-05-31 15:40:56,6.7989,81.4808,77.65,74,100,13.4
269,Palmer,US,2022-05-31 15:40:56,42.1584,-72.3287,89.85,48,75,6.91
270,Ondjiva,AO,2022-05-31 15:40:57,-17.0667,15.7333,80.64,21,0,16.11
271,Pemberton,CA,2022-05-31 15:40:57,50.3164,-122.8027,53.29,81,100,1.32
272,Haines Junction,CA,2022-05-31 15:41:58,60.7522,-137.5108,44.55,61,9,2.3
